,win,nomination
tt0078721,0,0
tt0078723,0,0
tt0078748,18,22
tt0078754,11,14
tt0078767,0,0
tt0078788,21,33
tt0078841,14,15
tt0078869,0,0
tt0078872,8,6
tt0078875,18,6
tt0078902,11,14
tt0078908,1,5
tt0078935,0,0
tt0078966,8,16
tt0079095,13,7
tt0079116,0,0
tt0079221,0,0
tt0079240,0,0
tt0079261,2,5
tt0079367,0,0
tt0079417,39,25
tt0079470,0,0
tt0079501,5,8
tt0079522,15,24
tt0079540,0,0
tt0079574,1,6
tt0079579,3,1
tt0079588,3,11
tt0079638,12,6
tt0079641,5,8
tt0079714,2,2
tt0079766,0,0
tt0079817,2,2
tt0079833,1,1
tt0079944,2,2
tt0079945,4,20
tt0080009,16,16
tt0080025,7,7
tt0080057,0,0
tt0080120,0,0
tt0080179,0,0
tt0080310,13,8
tt0080319,4,7
tt0080339,3,7
tt0080354,0,0
tt0080360,1,7
tt0080365,0,0
tt0080377,1,2
tt0080388,25,22
tt0080391,0,0
tt0080437,2,2
tt0080453,4,8
tt0080455,2,1
tt0080472,0,0
tt0080474,1,3
tt0080487,0,0
tt0080491,0,0
tt0080516,11,5
tt0080520,0,0
tt0080549,10,13
tt0080569,0,0
tt0080610,13,7
tt0080661,1,10
tt0080678,10,22
tt0080684,25,20
tt0080716,7,16
tt0080736,1,2
tt0080745,2,12
tt0080749,1,3
tt0080761,0,0
tt0080801,2,3
tt0080855,2,9
tt0080923,0,0
tt0080979,20,5
tt0081059,0,0
tt0081070,2,2
tt0081114,0,0
tt0081283,19,14
tt0081318,0,0
tt0081353,3,4
tt0081375,1,6
tt0081383,0,0
tt0081398,24,28
tt0081455,3,9
tt0081505,4,8
tt0081529,1,5
tt0081534,7,5
tt0081554,0,0
tt0081562,0,0
tt0081573,3,7
tt0081633,1,8
tt0081696,0,0
tt0081698,0,0
tt0081748,0,0
tt0081777,1,10
tt0081974,3,8
tt0082010,3,3
tt0082031,11,6
tt0082085,0,0
tt0082089,0,0
tt0082096,13,11
tt0082118,0,0
tt0082136,1,2
tt0082158,18,19
tt0082176,0,0
tt0082186,2,6
tt0082198,2,9
tt0082250,0,0
tt0082269,8,9
tt0082288,0,0
tt0082307,0,0
tt0082334,1,2
tt0082340,0,0
tt0082348,2,10
tt0082377,0,0
tt0082398,2,5
tt0082406,1,2
tt0082416,9,20
tt0082418,0,0
tt0082427,0,0
tt0082432,11,6
tt0082474,0,0
tt0082484,11,8
tt0082495,1,3
tt0082509,4,2
tt0082517,1,1
tt0082533,2,3
tt0082694,8,10
tt0082766,9,11
tt0082782,0,0
tt0082783,0,0
tt0082817,0,0
tt0082846,14,23
tt0082869,1,7
tt0082933,5,4
tt0082934,1,2
tt0082949,2,1
tt0082966,0,0
tt0082971,37,24
tt0082979,22,37
tt0083111,0,0
tt0083131,0,0
tt0083169,0,0
tt0083190,2,6
tt0083284,1,1
tt0083511,2,2
tt0083530,0,0
tt0083564,2,13
tt0083624,0,0
tt0083630,1,2
tt0083658,12,19
tt0083722,0,0
tt0083767,0,0
tt0083791,2,5
tt0083798,0,0
tt0083806,0,0
tt0083833,3,6
tt0083866,52,36
tt0083907,3,1
tt0083908,0,0
tt0083922,25,12
tt0083929,0,0
tt0083943,0,0
tt0083944,1,2
tt0083946,4,4
tt0083972,0,0
tt0083987,35,21
tt0084021,0,0
tt0084237,0,0
tt0084302,0,0
tt0084329,0,0
tt0084335,12,21
tt0084412,1,1
tt0084434,9,13
tt0084503,3,2
tt0084516,4,7
tt0084522,0,0
tt0084602,3,8
tt0084649,1,2
tt0084695,0,0
tt0084707,13,12
tt0084726,3,9
tt0084745,0,0
tt0084777,0,0
tt0084787,0,0
tt0084805,25,30
tt0084809,0,0
tt0084827,2,8
tt0084855,3,14
tt0084865,11,18
tt0084917,5,6
tt0084934,7,4
tt0085127,1,3
tt0085154,0,0
tt0085210,0,0
tt0085244,3,8
tt0085255,1,3
tt0085271,2,6
tt0085327,0,0
tt0085333,0,0
tt0085334,3,11
tt0085382,1,3
tt0085407,7,4
tt0085478,6,8
tt0085549,11,14
tt0085615,1,2
tt0085636,1,1
tt0085701,0,0
tt0085743,0,0
tt0085750,0,0
